Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Niedergedrückter Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla effusa,LC,3,0,0,●,G,,,,●,●,●,●,●,●,●,†?,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Ausgebreiteter Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla eurystoma,G,1,?,?,●,,,,,,,,,,●,,,,,E,ZE-Alp*!,S
(A. vulgaris agg. s.lat.),Lokalendemit des Pfaffensattels (Fischbacher Alpen).,,,,,,,,,,,,,,,,,,,,,
Pfaffensattel-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla exigua,NT,3,-1,-1,●,RE?,,,,●,●,●,●,●,●,●,●,,,,Eur,S
(A. vulgaris agg. s.lat.),Die Angabe vom Jauerling (Waldviertel) in Fröhner (1990) sollte überprüft werden.,,,,,,,,,,,,,,,,,,,,,
"Niedriger Frauenmantel, Schwächlicher F.",,,,,,,,,,,,,,,,,,,,,,
Alchemilla fallax,LC,2,0,0,●,,,,,●,,●,●,●,●,,?,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Täuschender Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla filicaulis,VU,2,-1,-1,●,RE?,●,,,●,●,●,●,●,●,●,●,●,,,Eur,S
Inkl. var. vestita,,,,,,,,,,,,,,,,,,,,,,
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Fadenstängliger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla fissa s.str.,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Schlitzblättriger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla flabellata,NT,3,-1,-1,●,RE?,,,,●,●,●,●,●,●,●,●,,?,,Eur,S
(A. vulgaris agg. s.lat.),Im Alpengebiet in den tieferen Lagen stark gefährdet. Am Jauerling (Waldviertel) zuletzt 1987 beobachtet (Gutermann 2019).,,,,,,,,,,,,,,,,,,,,,
Fächer-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla glabra,LC,5,-1,-1,●,NT,NT,VU,,●,●,●,●,●,●,●,●,,●,,Eur (Hol),S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Kahler Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla glacialis,G,1,?,?,●,,,,,●,,,,,,,,,,,Alp,S
(A. conjuncta agg.),In Österreich nur von einer Aufsammlung aus dem Jahr 1972 im Rätikon bekannt (Fröhner 1990).,,,,,,,,,,,,,,,,,,,,,
Eis-Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla glaucescens,NT,3,-1,-1,●,EN,,,,●,●,●,●,●,●,●,●,●,●,,Eur,S
(A. vulgaris agg. s.lat.),Im Alpengebiet in den Tieflagen gefährdet.,,,,,,,,,,,,,,,,,,,,,
Filz-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla glomerulans,LC,2,0,0,●,,,,,●,●,●,?,●,●,,?,,,,Hol,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Knäuel-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla grossidens,RE?,†?,†?,†?,RE?,,,,,†?,,,,,,,,,,,Alp,S
(A. conjuncta agg.),In Österreich nur von einer Aufsammlung aus dem Jahr 1922 im Rätikon sicher bekannt (Fröhner 1990). Die Angaben in Dörr & Lippert (2004) erscheinen zweifelhaft.,,,,,,,,,,,,,,,,,,,,,
Grobzähniger Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla hirtipes,NT,2,0,-1,●,,,,,●,●,,,,,,,,,,Alp,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Westtiroler Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla hoppeana,LC,3,0,0,●,,,,,,●,,●,,●,●,,,,,Eur,S
(A. conjuncta agg.),,,,,,,,,,,,,,,,,,,,,,
Hoppe-Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla impexa,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Ungekämmter Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla incisa,LC,2,0,0,●,,,,,●,●,,,,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Eingeschnittener Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla kerneri,CR,1,?,-2,●,,,,,,●,,,,,,,,,E,E-Alp*!,S
(A. vulgaris agg. s.lat.),"Lokalendemit der Zillertaler Alpen, zur Gefährdung vgl. Staudinger & al. (2009).",,,,,,,,,,,,,,,,,,,,,
Kerner-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla leutei,G,1,?,?,●,,,,,,,,,●,,,,,,E,E-Alp*!,S
(A. vulgaris agg. s.lat.),Lokalendemit der Goldberggruppe (Hohe Tauern).,,,,,,,,,,,,,,,,,,,,,
Leute-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla lineata,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Streifen-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla longana,LC,2,0,0,●,,,,,●,●,●,●,●,●,●,,,,S,Alp,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Longa-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla longituba,G,1,?,?,●,,●,,,,,,●,,●,●,,,,E,NE-Alp!,S
(A. vulgaris agg. s.lat.),"Endemit der Nördlichen Kalkalpen (Dachstein, Untersberg) und ihres Vorlandes.",,,,,,,,,,,,,,,,,,,,,
Langröhriger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla lunaria,G,1,?,?,●,,,,,●,,●,,,,,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Langöhrchen-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla matreiensis,G,1,?,?,●,,,,,,,●,,,,,,,,E,E-Alp!,S
(A. vulgaris agg. s.lat.),Endemit der Hohen Tauern.,,,,,,,,,,,,,,,,,,,,,
Matreier Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla maureri,RE,†,†,†,RE,,,,,,,,,,†,,,,,E,ZE-Alp*!,S
(A. vulgaris agg. s.lat.),"Ehedem beim Alois-Günther-Haus auf dem Stuhleck, nur von der Typusaufsammlung bekannt.",,,,,,,,,,,,,,,,,,,,,
Maurer-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla micans,NT,4,-1,-2,●,CR,CR,CR,,●,●,●,●,●,●,●,●,,●,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Zierlicher Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla mollis s.str.,n,,,,,,,,,le,u,u,le,u,u,u,u,u,u,,,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Weicher Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla monticola,LC,5,-1,-1,●,NT,NT,VU,,●,●,●,●,●,●,●,●,●,●,,Euras,S
(A. vulgaris agg. s.lat.),Im Alpengebiet in den Tieflagen im Rückgang.,,,,,,,,,,,,,,,,,,,,,
Bergwiesen-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla nitida,LC,3,0,0,●,,,,,●,●,,●,,,–,le?,,,,Eur,S
(A. conjuncta agg.),,,,,,,,,,,,,,,,,,,,,,
Glänzender Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla norica,G,1,?,?,●,,,,,,,,●,,●,,,,,E,ZE-Alp*!,S
(A. vulgaris agg. s.lat.),Endemit der Niederen Tauern.,,,,,,,,,,,,,,,,,,,,,
Norischer Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla obtusa,G,2,?,?,●,,f,,,●,●,●,●,●,●,●,?,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Stumpfzähniger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla othmarii,LC,2,0,0,●,,,,,●,●,●,●,,,?,,,,,Alp,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Othmar-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla pallens,LC,3,0,0,●,,,,,●,●,,●,–,,,,,,,Eur,S
(A. conjuncta agg.),,,,,,,,,,,,,,,,,,,,,,
Blassgrüner Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla pentaphyllea,G,1,?,?,●,,,,,●,,,,–,,,,,,,Eur,S
Schnee-Frauenmantel,In Österreich nur im Rätikon. Einem sehr alten anonymen Herbarbeleg aus dem Kärntner Teil der Glocknergruppe liegt wohl eine Fundortsverwechslung zugrunde.,,,,,,,,,,,,,,,,,,,,,
Alchemilla philonotis,EN,1,0,-2,●,,,,,,,,,●,–,,,,,E,ZE-Alp*!,S
(A. vulgaris agg. s.lat.),Lokalendemit der Koralpe.,,,,,,,,,,,,,,,,,,,,,
Quellmoos-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla platygyria,G,1,?,?,●,,,,,,,,,,●,,,,,E,NE-Alp*!,S
(A. vulgaris agg. s.lat.),Lokalendemit der Veitsch.,,,,,,,,,,,,,,,,,,,,,
Veitsch-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla plicata,VU,2,-1,-1,●,,,,,●,●,,●,,●,●,●,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Falten-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla racemulosa,G,1,?,?,●,,,,,●,,,,,,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Trauben-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla reniformis,LC,3,0,-1,●,,,,,●,●,●,●,●,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Nierenblättriger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla rubristipula,G,1,?,?,●,,,,,●,●,,,,,,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Rotscheiden-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla saliceti,G,1,?,?,●,,,,,●,,,,,,,,,,E,E-Alp*!,S
(A. vulgaris agg. s.lat.),Endemit des Lechquellengebirges und des Hohen Ifen.,,,,,,,,,,,,,,,,,,,,,
Weidengebüsch-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla saxatilis,CR,1,?,-2,●,,,,,,●,,,,,,,,,,Eur,S
(A. alpina agg.),Nur mit kleinen Populationen im Ventertal (Ötztaler Alpen).,,,,,,,,,,,,,,,,,,,,,
Stein-Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla semisecta,LC,1,0,0,●,,,,,●,,●,,,●,●,,,,,Alp,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Halbgeteilter Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla sericoneura,LC,2,0,0,●,,,,,●,●,●,●,,●,,,,,,Alp,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Seidennerviger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla speciosa,n,,,,,,,,,le,,,,,,,,,,,,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Pracht-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla splendens s.str.,G,1,?,?,●,,,,,●,,,,,,,,,,,Alp,S
(A. vulgaris agg. s.lat.),Zum altbekannten Vorkommen nahe der Fellhornbahn sind zwei weitere hinzugekommen (Dörr & Lippert 2004).,,,,,,,,,,,,,,,,,,,,,
Schimmernder Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla stiriaca,G,1,?,?,●,,,,,,,,,,●,,,,,E,NE-Alp!,S
(A. vulgaris agg. s.lat.),Endemit der Nordöstlichen Kalkalpen (Gesäuse und Veitsch).,,,,,,,,,,,,,,,,,,,,,
Steirischer Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla straminea,LC,3,0,-1,●,,f,,,●,●,●,●,●,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Stroh-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla strigosula,G,2,?,?,●,,,,,●,●,●,,●,,,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Gestriegelter Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla subcrenata,LC,4,-1,-1,●,G,G,G,,●,●,●,●,●,●,●,●,,●,,Euras,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Kerbzähniger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla subglobosa,G,1,?,?,●,,,,,,,●,,,●,,?,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Kugel-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla subsericea,LC,2,0,0,●,,,,,●,●,,,,,,,,,,Eur,S
(A. alpina agg.),,,,,,,,,,,,,,,,,,,,,,
Matten-Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla tenuis,G,2,?,?,●,,,,,●,●,●,,●,,,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Schmächtiger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla tirolensis,LC,2,0,0,●,,,,,●,●,●,●,●,,,,,,,Alp,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Tiroler Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla undulata,LC,2,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Welliger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla venosula,G,1,?,?,●,,,,,,,,,●,,,,,,,Eur,S
Inkl. A. gracillima,In Österreich nur in den Karawanken und Steiner Alpen.,,,,,,,,,,,,,,,,,,,,,
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Julischer Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla versipila,LC,2,0,0,●,,f,,,●,●,●,●,,●,●,,,,,Alp,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Wechselhaariger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla xanthochlora,LC,4,-1,-1,●,VU,NT,G,,●,●,●,●,●,●,●,●,,●,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Gelbgrüner Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Aldrovanda vesiculosa,RE,†,†,†,RE,,,,,†,,,,,,–,,,,,Kosm,S
Wasserfalle,"Art der FFH-Richtlinie, Anhang II und IV. Das einzige österreichische Vorkommen im Bodenseegebiet ist bereits im 19. Jh. ausgestorben (Murr 1923-26).",,,,,,,,,,,,,,,,,,,,,
Alisma gramineum,EN,2,-2,-1,●,,,CR,●,●,,,,–,,?,●,●,●,,Hol,S
(A. plantago-aquatica agg.),Aktuelle Vorkommen vor allem in den Donau- und Marchauen.,,,,,,,,,,,,,,,,,,,,,
Gras-Froschlöffel,,,,,,,,,,,,,,,,,,,,,,
Alisma lanceolatum,VU,3,-2,-2,EN,CR,EN,EN,●,●,,,●,●,●,●,●,●,●,,Euras,S
(A. plantago-aquatica agg.),Populationsverluste als Folge von Fließgewässerregulierungen.,,,,,,,,,,,,,,,,,,,,,
Lanzett-Froschlöffel,,,,,,,,,,,,,,,,,,,,,,
Alisma plantago-aquatica s.str.,LC,4,-1,0,NT,NT,●,●,●,●,●,●,●,●,●,●,●,●,●,,Hol (Kosm),S
(A. plantago-aquatica agg.),Auch Sekundärvorkommen.,,,,,,,,,,,,,,,,,,,,,
Gewöhnlicher Froschlöffel,,,,,,,,,,,,,,,,,,,,,,
Alliaria petiolata,LC,4,+1,+1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Hol,H
Lauchkraut,,,,,,,,,,,,,,,,,,,,,,
Allium angulosum,VU,3,-2,-1,EN,,RE,CR,●,●,†,,†,†,†,†,●,●,●,,Euras,S
Kanten-Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium atropurpureum,CR,1,-1,-3,,,,,●*,,,,–,,,–,●*,,●*,,Eur,S
Purpur-Lauch,Aktuellster Fund in einem Waldrest der Feuchten Ebene südlich von Wien (Till & Sauberer 2015).,,,,,,,,,,,,,,,,,,,,,
Allium carinatum,NT,4,-2,-1,●,VU,VU,VU,VU,●,●,●,●,●,●,●,●,●,●,,Eur,S
Kiel-Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium flavum,NT,3,-1,-1,●,●,CR,,●,,,,–,,,,●,●,●,,Eur,S
Gelber Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium kermesinum,VU,1,0,-1,●,,,,,,,,,●,,,,,,,SE-Alp,S
Steineralpen-Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium lusitanicum,LC,4,-1,-1,●,VU,EN,EN,VU,●,●,●,●,●,●,●,●,●,●,,Eur,S
Syn. A. senescens subsp. montanum,,,,,,,,,,,,,,,,,,,,,,
Berg-Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium ochroleucum,LC,1,0,0,●,,,,,,,,,●,,,,,,,Eur,S
Gelbweißer Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium oleraceum,LC,4,-1,-1,●,NT,NT,NT,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
Glocken-Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium paradoxum,n,,,,,,,,,,,,u,,,,le,le,,,,S
Wunder-Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium rotundum,VU,3,-2,-1,●,n,RE?,,●,,,,,,u,u,●,●,●,,Euras,S
Rund-Lauch,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Allium sativum,n,,,,,,,,,,,,u,u,,u,e,u,e,,,S
Knoblauch,,,,,,,,,,,,,,,,,,,,,,
Allium schoenoprasum,LC,3,0,-1,●,CR,CR,n,VU,●,●,●,●,●,●,●,●,u,u,,Hol,S
Schnitt-Lauch,Auch (sub)ruderal.,,,,,,,,,,,,,,,,,,,,,
Allium scorodoprasum,LC,4,0,-1,NT,VU,NT,VU,●,u,,●,●,●,●,●,●,●,●,,Euras,S
Schlangen-Lauch,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Allium senescens subsp. montanum → A. lusitanicum,,,,,,,,,,,,,,,,,,,,,,
Allium sphaerocephalon,VU,3,-2,-1,CR,RE*,"RE*, n",CR,●,†,,–,u,,,"†*,u",●,●,●,,Eur,S
Kugel-Lauch,Im Alpengebiet nur lokal am Ostrand.,,,,,,,,,,,,,,,,,,,,,
Allium strictum,EN,1,-1,-1,●,,,,,,●,,●,●,●,,,,,,Euras,S
Steifer Lauch,"Die seltene Art besiedelt steile Felshänge, an manchen Stellen durch Verbuschung bedroht.",,,,,,,,,,,,,,,,,,,,,
Allium suaveolens,EN,2,-2,-2,●,,,,●,●,●,,,,,,●,le,●,,Eur,S
Duft-Lauch,"Auf das Rheintal und den Walgau (Vorarlberg), ein Vorkommen im Tiroler Inntal sowie auf das südliche Pannonikum beschränkt. Auch wenn diese Pfeifengraswiesen-Art eine gewisse Verbrachung erduldet, sind die Bestände deutlich rückläufig (vgl. Amann 2016).",,,,,,,,,,,,,,,,,,,,,
Allium tuberosum,n,,,,,,,,,,,u,,,le,,u,u,,,,S
Chinesischer Knoblauch,,,,,,,,,,,,,,,,,,,,,,
Allium ursinum,LC,4,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
Bär-Lauch,,,,,,,,,,,,,,,,,,,,,,
Allium victorialis,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Allermannsharnisch,,,,,,,,,,,,,,,,,,,,,,
Allium vineale,LC,4,-1,0,VU,●,●,NT,●,●,e,●,●,●,●,●,●,●,●,,Hol (Kosm),S
Weinberg-Lauch,Auch synanthrop.,,,,,,,,,,,,,,,,,,,,,
Alnus alnobetula,LC,4,0,0,●,VU,CR,VU,,●,●,●,●,●,●,●,●,,●,,Eur,B
Syn. A. viridis,Tieflagenvorkommen können auch im Alpengebiet gefährdet sein.,,,,,,,,,,,,,,,,,,,,,
Grün-Erle,,,,,,,,,,,,,,,,,,,,,,
Alnus glutinosa,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,B
Schwarz-Erle,In Westösterreich deutlich seltener und dort gefährdet.,,,,,,,,,,,,,,,,,,,,,
Alnus incana,LC,5,-2,-1,●,NT,●,●,NT,●,●,●,●,●,●,●,●,●,●,,Euras (Hol),B
Grau-Erle,Vor allem in den Tieflagen durch eingeschränkte Dynamik an Auenstandorten rückläufig.,,,,,,,,,,,,,,,,,,,,,
Alopecurus aequalis,NT,4,-2,-1,VU,●,●,VU,VU,●,●,●,●,●,●,●,●,●,●,,Kosm,S
"Rotgelbes Fuchsschwanzgras, Ocker-F.","Aufgrund sehr unterschiedlicher Angaben zum Bestandestrend ist eine Bewertung schwierig. In der Weststeiermark stark rückläufig
(G. Kniely, pers. Mitt.), in Salzburg und Oberösterreich mit leichter ruderaler Tendenz und vor allem in höheren Lagen weitgehend stabil.",,,,,,,,,,,,,,,,,,,,,
Alopecurus geniculatus,LC,3,0,0,●,●,VU,VU,VU,u,le,le,●,●,●,●,●,●,●,,Eur (Hol),S
Knick-Fuchsschwanzgras,"Die Mehrzahl der Vorkommen im Alpengebiet ist sekundär, in Salzburg war diese Art bis in die 1930er-Jahre unbekannt.",,,,,,,,,,,,,,,,,,,,,
Alopecurus myosuroides,n,,,,,,,,,u,u,u,u,u,u,e,e,e,e,,,H
Acker-Fuchsschwanzgras,,,,,,,,,,,,,,,,,,,,,,
Alopecurus pratensis,LC,5,-1,-1,●,●,●,●,NT,●*,e,●,e,●,●,●,●,●,●,,Euras (Kosm),S
Inkl. subsp. pseudonigricans,,,,,,,,,,,,,,,,,,,,,,
Wiesen-Fuchsschwanzgras,,,,,,,,,,,,,,,,,,,,,,
Althaea officinalis s.str.,VU,2,-1,-1,n,n,n,n,●,u,u,u,u,e,e,e,●,●,●,,Euras (Hol),S
Echter Eibisch,Exkl. der neophytischen Althaea taurinensis. Im Pannonikum teilweise heimisch.,,,,,,,,,,,,,,,,,,,,,
Althaea taurinensis,n,,,,,,,,,,u,u,u,u,e,u,e,e,e,,,S
Turiner Eibisch,,,,,,,,,,,,,,,,,,,,,,
Alyssum alyssoides,LC,4,-1,-1,VU,●,EN,CR,●,●,●,†?,"†,u",●,●,●,●,●,●,,Eur (Kosm),H
Kelch-Steinkraut,"Ehemals auch in Äckern häufig und weiter verbreitet, heute dort nur mehr selten. Auch sub(ruderal).",,,,,,,,,,,,,,,,,,,,,
Alyssum desertorum → A. turkestanicum,,,,,,,,,,,,,,,,,,,,,,
Alyssum gmelinii,VU,2,-1,-1,●,●,n,RE?*,●,,u,,u,●,●,u,●,,●,,Eur,S
"Syn. A. montanum subsp. gmelinii, A. montanum subsp. montanum auct.; inkl. var. preissmannii","Umfasst subsp. montanum und subsp. gmelinii im Sinn von Fischer & al. (2008); heute nicht mehr getrennt (vgl. Španiel & al. 2012, 2017). Der Sand-Ökotyp ist hochgradig gefährdet.",,,,,,,,,,,,,,,,,,,,,
Berg-Steinkraut,,,,,,,,,,,,,,,,,,,,,,
Alyssum montanum auct. → A. gmelinii,,,,,,,,,,,,,,,,,,,,,,
Alyssum murale → Odontarrhena,,,,,,,,,,,,,,,,,,,,,,
Alyssum neglectum,VU,1,0,-1,●,,,,,,,,,,●,,,,,E,NE-Alp*!,S
Syn. A. ovirense auct. p.p.,Endemit der Hochschwabgruppe (vgl. Magauer & al. 2014). Durch Klimawandel möglicherweise gefährdet.,,,,,,,,,,,,,,,,,,,,,
Hochschwab-Steinkraut,,,,,,,,,,,,,,,,,,,,,,
Alyssum ovirense → A. wulfenianum subsp. ovirense,,,,,,,,,,,,,,,,,,,,,,
Alyssum repens,NT,2,0,-1,●,,,,,,,,,●,●,,,,,,Eur,S
Inkl. subsp. transsilvanicum,"Lokale Rückgänge in Halbtrockenrasen (z. B. Grazer Bergland), aber Sekundärvorkommen z. B. an Straßenböschungen.",,,,,,,,,,,,,,,,,,,,,
Siebenbürger Steinkraut,,,,,,,,,,,,,,,,,,,,,,
Alyssum turkestanicum,EN,2,-2,-1,,,,,●*,,,,,,,–,●*,†*,,,Hol,H
Syn. A. desertorum,"Rezent noch an der Nordbahnlinie zwischen Deutsch-Wagram und Gänserndorf, dort stellenweise massenhaft (Th. Barta, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Steppen-Steinkraut,,,,,,,,,,,,,,,,,,,,,,
Alyssum wulfenianum subsp. ovirense,VU,1,0,-1,●,,,,,,,,,●,,,,,,,Eur,S
Syn. A. ovirense,Am Hochobir in etwas flacherem Gelände besteht Gefährdung durch Beweidung.,,,,,,,,,,,,,,,,,,,,,
Obir-Steinkraut,,,,,,,,,,,,,,,,,,,,,,
Alyssum wulfenianum subsp. wulfenianum,CR,1,-2,-2,●,,,,,,,,,●,,,,,,S,SE-Alp*,S
Syn. A. wulfenianum s.str.,Sehr selten im Schotter der Gailitz bei Arnoldstein.,,,,,,,,,,,,,,,,,,,,,
Wulfen-Steinkraut i. e. S.,,,,,,,,,,,,,,,,,,,,,,
Amaranthus albus,n,,,,,,,,,u,u,u,u,e,e,e,e,e,e,,,H
Weißer Amarant,,,,,,,,,,,,,,,,,,,,,,
Amaranthus blitoides,n,,,,,,,,,,u,,?,u,u,,e,e,e,,,H
Inkl. var. reverchonii,,,,,,,,,,,,,,,,,,,,,,
Westamerikanischer Amarant,,,,,,,,,,,,,,,,,,,,,,
Amaranthus blitum s.str.,LC,3,+1,0,VU,●,●,●,●,●,u,u,●,●,●,●*,●,●,●,,Eur (Kosm),H
Syn. A. blitum subsp. blitum,Sicher einheimisch nur im Pannonikum.,,,,,,,,,,,,,,,,,,,,,
Stutzblättriger Amarant,,,,,,,,,,,,,,,,,,,,,,
Amaranthus emarginatus,n,,,,,,,,,,u,u,u,u,u,u,e,u,le,,,H
Syn. A. blitum subsp. emarginatus; inkl. var. pseudogracilis,,,,,,,,,,,,,,,,,,,,,,
Ausgerandeter Amarant,,,,,,,,,,,,,,,,,,,,,,
Amaranthus graecizans,CR,1,-3,-2,?,,,?,●,u,,,–,u,●*,?,●,●,●,,Euras (Kosm),H
