Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Spitzlappiger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla aggregata,G,1,?,?,●,,,,,●,,,●,,●,●,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Kleinknäueliger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla alneti,LC,1,0,0,●,,,,,,,●,●,●,,,,,,E,E-Alp*!,S
(A. vulgaris agg. s.lat.),Endemit der Hohen Tauern.,,,,,,,,,,,,,,,,,,,,,
Osttiroler Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla alpigena,LC,2,0,0,●,,,,,●,●,,●,,,,,,,,Eur,S
(A. conjuncta agg.),,,,,,,,,,,,,,,,,,,,,,
Kalkalpen-Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla alpina s.str.,LC,3,0,0,●,,,,,●,●,●,●,●,,,,,,,Hol,S
(A. alpina agg.),,,,,,,,,,,,,,,,,,,,,,
Alpen-Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla alpinula,LC,1,0,0,●,,,,,,,,,●,,,,,,,E-Alp,S
(A. conjuncta agg.),,,,,,,,,,,,,,,,,,,,,,
Südostalpen-Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla anisiaca,LC,3,0,0,●,,,,,,,,●,,●,●,●,,,E,NE-Alp!,S
(A. conjuncta agg.),,,,,,,,,,,,,,,,,,,,,,
Ennstaler Silbermantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla antiropata,VU,1,0,-1,●,,,,,,,,,,●,,,,,E,NE-Alp*!,S
(A. vulgaris agg. s.lat.),Lokalendemit der Hohen Veitsch.,,,,,,,,,,,,,,,,,,,,,
Waagrechter Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla arvensis,NT,4,-2,-1,EN,●,●,●,VU,†,†,†,●,●,●,●,●,●,●,,Eur (Kosm),H
Syn. Aphanes arvensis,,,,,,,,,,,,,,,,,,,,,,
Gewöhnliches Ohmkraut,,,,,,,,,,,,,,,,,,,,,,
Alchemilla australis,EN,2,-2,-2,RE?,●,n,RE?,,,,,,,†?,u,●,,†?,,Eur (Kosm),H
Syn. Aphanes australis,In Wintergetreidefeldern und in Sandgruben.,,,,,,,,,,,,,,,,,,,,,
Kleinfrüchtiges Ohmkraut,,,,,,,,,,,,,,,,,,,,,,
Alchemilla bonae,?,,,,?,,,,,,?,,,,,,,,,,E-Alp,S
(A. vulgaris agg. s.lat.),"Die einzige Angabe aus Österreich (1894 aus dem Karwendel, Nordtirol) ist fraglich.",,,,,,,,,,,,,,,,,,,,,
Bona-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla canifolia,LC,1,0,0,●,,,,,,,,,●,,,,,,E,SE-Alp*!,S
(A. vulgaris agg. s.lat.),Lokalendemit des Poludnig (Karnische Alpen).,,,,,,,,,,,,,,,,,,,,,
Graublättriger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla carinthiaca,G,1,?,?,●,,,,,,,,,●,,,,,,E,SE-Alp*!,S
(A. vulgaris agg. s.lat.),Lokalendemit der Petzen (Karawanken).,,,,,,,,,,,,,,,,,,,,,
Kärntner Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla cataractarum,G,1,?,?,●,,,,,,,,,,●,,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Wasserfall-Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla colorata,LC,2,0,0,●,,,,,●,●,●,,●,,,,,,,Eur,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Geröteter Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
