GUID,Taxon,Synonymie,Aggregatzugehörigkeit,Taxonname deutsch,Nordtirol,Nordtirol,Nordtirol,Nordtirol,Osttirol,Osttirol,Osttirol,Osttirol,Kommentar
,,,,,RL,A,B,R,RL,A,B,R,
6F7E379C-6418-4632-A744-68AEBFDED8DD,Alchemilla cymatophylla,,A. vulgaris agg. s.lat.,Wellenblättriger Frauenmantel,u,,,,-,,,,
995D23C9-E75E-4CFA-B351-F374A702A05C,Alchemilla decumbens,,A. vulgaris agg. s.lat.,Niederliegender Frauenmantel,LC,3,0,0,LC,4,0,0,
D33E4381-8941-4AE6-A14F-088B0BE7FA16,Alchemilla effusa,,A. vulgaris agg. s.lat.,Ausgebreiteter Frauenmantel,LC,3,0,0,LC,4,0,0,
ADB51AB2-20E0-455C-93C5-DA2352AFD628,Alchemilla exigua,,A. vulgaris agg. s.lat.,"Niedriger Frauenmantel, Schwächlicher F.",NT,3,-1,-1,NT,4,-2,-1,
7EAA4630-D49A-4355-8582-75F121537622,Alchemilla fallax,,A. vulgaris agg. s.lat.,Täuschender Frauenmantel,(DD),dd,dd,dd,LC,3,0,0,NT: Es existieren nicht verifizierte Angaben aus den Stubaier Alpen.
1202CD7D-5366-485D-B79E-0D820AE12DE1,Alchemilla filicaulis,,A. vulgaris agg. s.lat.,Fadenstängliger Frauenmantel,EN,1,-1,-1,(DD),dd,dd,dd,NT: Angaben zu der Art gibt es in erster Linie aus dem Raum Innsbruck sowie den Stubaier und Ötztaler Alpen. Aktuelle Meldungen fehlen weitgehend.
CA54ED12-2C1F-4B60-9437-8D040E3AAB4E,Alchemilla fissa s. str.,,A. vulgaris agg. s.lat.,Schlitzblättriger Frauenmantel,LC,4,0,0,LC,5,0,0,
7F6CF862-F39C-4719-9373-66E89EF8218F,Alchemilla flabellata,,A. vulgaris agg. s.lat.,Fächer-Frauenmantel,LC,4,-1,-1,NT,4,-2,-1,
00D5E46D-11A4-420F-88A6-70D4CC30627B,Alchemilla glabra,,A. vulgaris agg. s.lat.,Kahler Frauenmantel,LC,4,0,0,LC,5,-1,-1,
D428F823-F846-41C4-AD84-D9A2DC7C7080,Alchemilla glaucescens,,A. vulgaris agg. s.lat.,Filz-Frauenmantel,NT,4,-2,-1,LC,5,-1,-1,In Tieflagen gefährdet (VU).
9EE6BFF5-C145-4FA7-B2C1-66AB54FCFD7B,Alchemilla glomerulans,,A. vulgaris agg. s.lat.,Knäuel-Frauenmantel,DD,dd,dd,dd,LC,2,0,0,
6165EB54-87CE-40CC-B31D-640670547335,Alchemilla hirtipes,,A. vulgaris agg. s.lat.,Westtiroler Frauenmantel,LC,2,0,0,-,,,,
3DFEE213-994A-45FC-A861-291F7AD40A4C,Alchemilla hoppeana,,A. conjuncta agg.,Hoppe-Silbermantel,LC,3,0,0,/,,,,
409D3B39-1A09-40C0-BF87-FDB21F6E1799,Alchemilla impexa,,A. vulgaris agg. s.lat.,Ungekämmter Frauenmantel,LC,3,0,0,LC,4,0,0,
55FF7BB1-95E2-4C97-885B-E9BC663459E6,Alchemilla incisa,,A. vulgaris agg. s.lat.,Eingeschnittener Frauenmantel,LC,3,0,0,-,,,,
901A1C79-D996-4BB3-BDE7-9229D757CEAC,Alchemilla kerneri,,A. vulgaris agg. s.lat.,Kerner-Frauenmantel,CR,1,dd,-2,-,,,,"NT: Nordtiroler Endemit der Zillertaler Alpen (Mayrhofen, Floitengrund, Zemmgrund), aktuelle Nachweise fehlen."
8DB80CF8-2F39-48AD-AA9C-423FD005CEDE,Alchemilla lineata,,A. vulgaris agg. s.lat.,Streifen-Frauenmantel,LC,2,0,0,LC,1,0,0,
51129DB0-CB87-4559-991C-D6C5B67F1700,Alchemilla longana,,A. vulgaris agg. s.lat.,Longa-Frauenmantel,LC,3,0,0,LC,3,0,0,
C3CCF886-3921-42A3-87E0-1BC94E47FFD0,Alchemilla lunaria,,A. vulgaris agg. s.lat.,Langöhrchen-Frauenmantel,-,,,,DD,dd,dd,dd,
A506972F-6234-4A5A-B8B3-29CB43853C68,Alchemilla matreiensis,,A. vulgaris agg. s.lat.,Matreier Frauenmantel,-,,,,DD,dd,dd,dd,OT: Osttiroler Endemit mit Hauptverbreitung in den Hohen Tauern.
1F93AC13-F404-4752-9A93-3CE499BFDDDB,Alchemilla micans,,A. vulgaris agg. s.lat.,Zierlicher Frauenmantel,NT,3,-1,-1,NT,3,-1,-1,
0C8A24DF-4BDB-42A6-B55B-F06C6209AD60,Alchemilla mollis s. str.,,A. vulgaris agg. s.lat.,Weicher Frauenmantel,e,,,,u,,,,
783A8FAA-6122-4630-9FE6-38563B0E491B,Alchemilla monticola,,A. vulgaris agg. s.lat.,Bergwiesen-Frauenmantel,LC,5,-1,-1,LC,5,-1,-1,
AA7F9E63-D87E-4033-B419-21E12B584CBB,Alchemilla nitida,,A. conjuncta agg.,Glänzender Silbermantel,LC,3,0,0,-,,,,
EBE5A1AD-8955-4546-8390-627D735D7550,Alchemilla obtusa,,A. vulgaris agg. s.lat.,Stumpfzähniger Frauenmantel,DD,dd,dd,dd,DD,dd,dd,dd,
D755E0A4-51C2-43DD-8FC2-497410FC0826,Alchemilla othmarii,,A. vulgaris agg. s.lat.,Othmar-Frauenmantel,LC,2,0,0,LC,dd,0,0,
E796AAA7-00B3-4E99-9505-E743655D72AD,Alchemilla pallens,,A. conjuncta agg.,Blassgrüner Silbermantel,LC,4,0,0,-,,,,
BB82E770-C55E-41E0-A69D-830F683E1B1A,Alchemilla plicata,,A. vulgaris agg. s.lat.,Falten-Frauenmantel,VU,2,-1,-1,-,,,,
8BE609DB-C473-4F95-884D-D0D0BA54DF2F,Alchemilla reniformis,,A. vulgaris agg. s.lat.,Nierenblättriger Frauenmantel,LC,3,0,-1,LC,3,0,0,
5EF97EBC-EA8E-45B4-ADB4-AACF72675CC2,Alchemilla rubristipula,,A. vulgaris agg. s.lat.,Rotscheiden-Frauenmantel,DD,dd,dd,dd,-,,,,
4D27A114-F791-4A10-A888-0BEA224916E3,Alchemilla saxatilis,,A. alpina agg.,Stein-Silbermantel,CR,1,dd,-2,-,,,,NT: Die Art kommt in Österreich nur lokal im Venter Tal vor. Der letzte Nachweis liegt mehr als 40 Jahre zurück.
0E39E9E2-EBD7-48BB-BF35-17837F798453,Alchemilla semisecta,,A. vulgaris agg. s.lat.,Halbgeteilter Frauenmantel,/,,,,LC,2,0,0,
ACBC8AB5-3285-4A3F-BA28-D8D315CCED43,Alchemilla sericoneura,,A. vulgaris agg. s.lat.,Seidennerviger Frauenmantel,DD,dd,dd,dd,LC,dd,0,0,
16933078-4490-4057-A075-0A34EEFEFB7E,Alchemilla straminea,,A. vulgaris agg. s.lat.,Stroh-Frauenmantel,LC,3,0,0,LC,4,0,0,
64308D21-471E-4263-93C3-62B7EDBAFDC6,Alchemilla strigosula,,A. vulgaris agg. s.lat.,Gestriegelter Frauenmantel,DD,dd,dd,dd,DD,dd,dd,dd,
F229B68E-8A0A-4E29-BEFA-CB2766EB13EF,Alchemilla subcrenata,,A. vulgaris agg. s.lat.,Kerbzähniger Frauenmantel,NT,3,-1,-1,LC,4,-1,-1,
CA9E6B6A-7345-4FD9-A1E7-1DF934FE2B87,Alchemilla subglobosa,,A. vulgaris agg. s.lat.,Kugel-Frauenmantel,-,,,,DD,dd,dd,dd,
52E27957-708D-4D51-9A38-D919382E39A7,Alchemilla subsericea,,A. alpina agg.,Matten-Silbermantel,LC,2,0,0,-,,,,
030EAE10-6E91-40F7-A7DA-4B78C781C30F,Alchemilla tenuis,,A. vulgaris agg. s.lat.,Schmächtiger Frauenmantel,LC,2,0,0,DD,dd,dd,dd,
0F48B0A7-B17B-4EE3-8CB8-D5F31A8EB163,Alchemilla tirolensis,,A. vulgaris agg. s.lat.,Tiroler Frauenmantel,DD,dd,dd,dd,LC,3,0,0,
61A97C16-45CC-454D-804B-6C137BCFF2F0,Alchemilla undulata,,A. vulgaris agg. s.lat.,Welliger Frauenmantel,LC,2,0,0,LC,3,0,0,
2C47F732-1E3F-4988-B0DC-DED52818EEBD,Alchemilla versipila,,A. vulgaris agg. s.lat.,Wechselhaariger Frauenmantel,LC,2,0,0,DD,dd,dd,dd,
9CFD7A7C-CDBC-450E-A27A-1CD74FA49DCE,Alchemilla xanthochlora,,A. vulgaris agg. s.lat.,Gelbgrüner Frauenmantel,LC,3,0,0,LC,4,0,0,
A851D8DE-1824-46ED-B083-057EC89CA3B6,Alisma lanceolatum,,A. plantago-aquatica agg.,Lanzett-Froschlöffel,/,,,,u,,,,"NT: Das Vorkommen im Gebiet ist nicht gesichert, Belege fehlen (Pagitz et al. 2023)."
86A8D55D-3FE7-4BEF-AEC1-857E109771D2,Alisma plantago-aquatica s. str.,,A. plantago-aquatica agg.,Gewöhnlicher Froschlöffel,NT,4,-2,-1,EN,3,-2,-3,
4975B478-6129-4BA0-8BC6-D62478C7927B,Alliaria petiolata,,,"Knoblauchrauke, Lauchkraut",LC,4,0,0,LC,4,0,0,
A48E5DD8-A06B-481F-8EF7-C46240D0CF89,Allium ampeloprasum s. str.,,,Acker-Lauch,u,,,,-,,,,
97104334-1ED2-413E-AC2A-18B72AFAB911,Allium carinatum subsp. carinatum,syn. A. carinatum s. str.,,Eigentlicher Kiel-Lauch,NT,4,-1,-2,VU,3,-1,-2,
F7BAFA74-DC72-4067-9D98-32B9DFEA3C65,Allium cepa,,,Küchen-Zwiebel,u,,,,-,,,,
22EB8479-B222-4F12-86EC-33BC9F41198A,Allium hollandicum,,,Holland-Lauch,-,,,,u,,,,
5A242FE1-C16E-4681-81BA-35DD870178C4,Allium lusitanicum,syn. A. senescens subsp. montanum,,Berg-Lauch,LC,4,-1,0,LC,4,-1,-1,
7C4DD3FB-EC03-4B6D-811D-A631785BC065,Allium moly,,,Gold-Lauch,u,,,,-,,,,
